,Category,Player_Name,Player_Score
0,Points,De'Aaron Fox,43
1,Points,Kevin Durant,38
2,Points,LaMelo Ball,37
3,Points,Jordan Clarkson,37
4,Points,LeBron James,35
5,Rebounds,Nikola Jokic,16
6,Rebounds,Mark Williams,16
7,Rebounds,John Collins,14
8,Rebounds,Anthony Davis,14
9,Rebounds,Domantas Sabonis,14
10,Assists,Nikola Jokic,18
11,Assists,Devin Booker,15
12,Assists,Trae Young,13
13,Assists,Fred VanVleet,10
14,Assists,Giannis Antetokounmpo,9
15,Blocks,Brook Lopez,6
16,Blocks,Jarrett Allen,5
17,Blocks,Anthony Davis,5
18,Blocks,Ochai Agbaji,3
19,Blocks,Keita Bates-Diop,3
20,Steals,Kawhi Leonard,5
21,Steals,Max Strus,4
22,Steals,Bogdan Bogdanovic,3
23,Steals,Alex Caruso,3
24,Steals,Zach Collins,3
25,Turnovers,Shaedon Sharpe,10
26,Turnovers,Paolo Banchero,7
27,Turnovers,LaMelo Ball,6
28,Turnovers,Anthony Davis,6
29,Turnovers,Jaden Ivey,6
30,Three Pointers Made,Malik Beasley,6
31,Three Pointers Made,Jalen Brunson,6
32,Three Pointers Made,Kevin Durant,6
33,Three Pointers Made,Malik Monk,6
34,Three Pointers Made,Jordan Clarkson,5
35,Free Throws Made,LaMelo Ball,11
36,Free Throws Made,Joel Embiid,11
37,Free Throws Made,De'Aaron Fox,10
38,Free Throws Made,Lauri Markkanen,10
39,Free Throws Made,Trae Young,10
40,Fantasy Points,Nikola Jokic,74.2
41,Fantasy Points,De'Aaron Fox,68.1
42,Fantasy Points,Kevin Durant,61.3
43,Fantasy Points,LeBron James,57.5
44,Fantasy Points,Joel Embiid,54.4
